# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
The Marías|DÁKITI – Spotify Singles|Mood||https://open.spotify.com/track/2y9xyQNtut1KeOHSSkuzik
Gorillaz|Cracker Island (feat. Thundercat)|Mood||https://open.spotify.com/track/2W3ZpQg9i6lE6kmHbcdu9N
Polyphia|ABC (feat. Sophia Black)|Mood||https://open.spotify.com/track/7D4lgMbSs10AQ0zX3ZldJc
The Marías|Hush - Still Woozy Remix|Mood||https://open.spotify.com/track/4dGuRldChjvboZktprNJFM
AURORA|Cure For Me|Mood||https://open.spotify.com/track/5QxK3RfBfLAqIJivw57u1a
VALORANT|Fire Again|Mood||https://open.spotify.com/track/02rlJHfeHfAe7ozTFnDbGi
VALORANT|Die For You|Mood||https://open.spotify.com/track/2lz3zjQ5QCVXiyOzIk02vW
SHISHAMO|ハッピーエンド|Mood||https://open.spotify.com/track/5gUzLLcqBLpQlIK6QgyCN3
League of Legends|Burn It All Down|Mood||https://open.spotify.com/track/0ked784BOZ1JtRVHux98jE
Ginger Root|Weather|Mood||https://open.spotify.com/track/2D3gvohUyOfXIVX6Mvhqae
Kenshi Yonezu|KICK BACK|Mood||https://open.spotify.com/track/3khEEPRyBeOUabbmOPJzAG
MAXIMUM THE HORMONE|HAWATARI NIOKU CENTI [2-hundred-million-centimeter-long blades] - TV edit|Mood||https://open.spotify.com/track/1lySGuhlcZUJxLA5W5Bo7k
KALI|Too Tired|Mood||https://open.spotify.com/track/3CkaqnqHF4NCMypM5AcVqq
Iyowa|kyu-kurarin|Love Girls cause I'm a Girl||https://open.spotify.com/track/72wehM3q2RVZb4XLmAkyTr
ano|ちゅ、多様性。|Love Girls cause I'm a Girl||https://open.spotify.com/track/5KLL3cZEyuSJRvyS84o4Df
Azari|Shadow Shadow|Love Girls cause I'm a Girl||https://open.spotify.com/track/3kKrLW9Fi7FdPi5oeLER7U
Kanaria|QUEEN|Love Girls cause I'm a Girl||https://open.spotify.com/track/32zpHDchUY83w80C8mMtOs
