# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
Still Woozy|Again|Context||https://open.spotify.com/track/0ZU7dTp8rNR1Bpc0jMcEAD
Luna Li|Misery Moon|Context||https://open.spotify.com/track/5EwRVuWJpNNMYM4UkT561o
Still Woozy|Lemon|Context||https://open.spotify.com/track/2eHo0df4b8eRW63X6N8Hxs
Orion Sun|intro|Context||https://open.spotify.com/track/6HSTJbYzJCK5jKz7hrsvQh
Orion Sun|Ne Me Quitte Pas (Don't Leave Me)|Context||https://open.spotify.com/track/7DYkWTA0ckaqm2MFfAIlQr
Sports|Baby Baby|Context||https://open.spotify.com/track/41HyMiZSBLGlfopnDE7Ppc
Hotel Ugly|Action Figures Fighting|Context||https://open.spotify.com/track/3Dovyp9MbclWO5nus9qH41
Billie Eilish|LUNCH|Context||https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE
Ralph Castelli|Morning Sex|Context||https://open.spotify.com/track/2fGRJzoiYJYAzlQAyBONMb
Orion Sun|Antidote|Context||https://open.spotify.com/track/1NlGXcWeUSe1s3IgRKcqmB
Billie Eilish|BIRDS OF A FEATHER|Context||https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
Steve Lacy|Uuuu|Context||https://open.spotify.com/track/6M0EP76qW9TG4SNU0agu94
Steve Lacy|C U Girl|Context||https://open.spotify.com/track/6FBzhcfgGacfXF3AmtfEaX
Saint Motel|Cold Cold Man|Context||https://open.spotify.com/track/6RKGBcDtgzXx21zUjpeu6F
Men I Trust|Oncle Jazz|Context||https://open.spotify.com/track/204t5SErksNRHRhU52g5JF
maye|Tú|Context||https://open.spotify.com/track/1jecO8NeYLsVWVptITz4c1
Kendrick Lamar|Alright|V||https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
Kendrick Lamar|XXX. FEAT. U2.|V||https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
Baby Keem|family ties (with Kendrick Lamar)|V||https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
Tyler|Rah Tah Tah|V||https://open.spotify.com/track/5RePVWy39tLpHH0WwXgBsK
Tyler|Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)|V||https://open.spotify.com/track/3tFed7YsjGnIfxeLEQwx3R
Tyler|Thought I Was Dead (feat. ScHoolboy Q & Santigold)|V||https://open.spotify.com/track/2aYHxnMF2umAavtgBvmkY1
ミドリ|ゆきこさん|OHNO||https://open.spotify.com/track/7EzsrJjJQBXRPiAPijADtG
ミドリ|お猿|OHNO||https://open.spotify.com/track/1R6knwr1q0ylkanX1mBe75
ミドリ|ちはるの恋|OHNO||https://open.spotify.com/track/3ojutDH17deNW7QFJALS5G
ミドリ|ひみつの2人|OHNO||https://open.spotify.com/track/3Upe0iWVwbb7k3ef6rlNZP
ミドリ|ハウリング地獄|OHNO||https://open.spotify.com/track/0DBLl2nvhOWToq2749XEUT
Otoboke Beaver|Don't light my fire|OHNO||https://open.spotify.com/track/18ThXUp9jiQg26iD1w8reE
Otoboke Beaver|akimahenka|OHNO||https://open.spotify.com/track/3F1rYPkdH3iKfHweax3JDp
Snõõper|Running|OHNO||https://open.spotify.com/track/7zsSpz2UBsQTMLOeWdtKPz
Hakushi Hasegawa|Doku|OHNO||https://open.spotify.com/track/7LJqyke8utk9ddmFchx3Z6
Polyphia|G.O.A.T.|Wa wA||https://open.spotify.com/track/2aVAlLn2uez3xpcXxdiVek
Polyphia|Loud|Wa wA||https://open.spotify.com/track/0NQX8uIipe2SbgjgKyfq59
Polyphia|Icronic|Wa wA||https://open.spotify.com/track/5QZ7TEd3h6OysmdMHm0Mfj
Polyphia|Goose|Wa wA||https://open.spotify.com/track/2v7iJcMoQcN40fK9XEb42q
Polyphia|40oz|Wa wA||https://open.spotify.com/track/3v3VFa7Dt32gNR27jfw7DG
Polyphia|Champagne|Wa wA||https://open.spotify.com/track/6ZDHFz6h8d93EPAIq5hDuE
Polyphia|Memory|Wa wA||https://open.spotify.com/track/4Hedffa7sZORyMQ2045rZc
Polyphia|James Franco|Wa wA||https://open.spotify.com/track/66LLzXPLk4mdixtV21DKnS
Polyphia|Playing God|Wa wA||https://open.spotify.com/track/3nBGFgfRQ8ujSmu5cGlZIU
Polyphia|Nightmare|Wa wA||https://open.spotify.com/track/6DZb3JYHOAV0RR0VTEMCIn
Polyphia|Ivory|Wa wA||https://open.spotify.com/track/6GIJiLJVQumva9G5khVXH6
Plini|Every Piece Matters|Wa wA||https://open.spotify.com/track/25RDHbzKzGSUefENv5uz9M
Plini|Heart|Wa wA||https://open.spotify.com/track/10odSvMUn94qjDoAdVldFZ
Plini|Selenium Forest|Wa wA||https://open.spotify.com/track/18pIsa1XH5Eap4SBcSH4Xd
Intervals|Epiphany|Wa wA||https://open.spotify.com/track/1Wdd8Xku4srY0TEfPBQE7U
Intervals|Touch and Go|Wa wA||https://open.spotify.com/track/3nDOvQvA8iPamdULGubIQE
Intervals|Fable|Wa wA||https://open.spotify.com/track/6Rn4x7FQ8iAmlaBIxeiSFo
SPECIAL OTHERS|AIMS|Wa wA||https://open.spotify.com/track/0Qsr9UPBy9X0DTwROJZYhO
SPECIAL OTHERS|beautiful world|Wa wA||https://open.spotify.com/track/42ztlQhQwRlphYzE5nKAWd
SPECIAL OTHERS|Hawaiian Secret Beat|Wa wA||https://open.spotify.com/track/4KJNauzi1VcdYBVX4cL1F1
SPECIAL OTHERS|Dance Festival|Wa wA||https://open.spotify.com/track/2ovZpiOnnGARJ6LokTz5yb
SPECIAL OTHERS|Laurentech|Wa wA||https://open.spotify.com/track/14NAtZdfZteZTKiEPoBYyQ
Covet|falkor|Wa wA||https://open.spotify.com/track/3nGyTdjyMC0xT2TA7Q4Ru4
Polyphia|O.D.|Wa wA||https://open.spotify.com/track/1U2yqd3Bp4vBuIQ3NGfS6C
The Marías|I Don't Know You|Un wey en un reel me dijo||https://open.spotify.com/track/06cqIVC8kRAT02qfHQT65v
The Marías|Cariño|Un wey en un reel me dijo||https://open.spotify.com/track/16gJmoOqRt2lKmlXtDpWgH
The Marías|Over the Moon|Un wey en un reel me dijo||https://open.spotify.com/track/02wNtFxlr9dLmZXKT5TIF5
Clairo|Sofia|Un wey en un reel me dijo||https://open.spotify.com/track/0za55KLGfhCOr2TC4RM6dr
Clairo|Bags|Un wey en un reel me dijo||https://open.spotify.com/track/56NEihhw1BsIgBBzfvcE76
Clairo|Flaming Hot Cheetos|Un wey en un reel me dijo||https://open.spotify.com/track/7iKcCH5vpjZgCJRNm7yD3L
Billie Eilish|idontwannabeyouanymore|Un wey en un reel me dijo||https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
Billie Eilish|ocean eyes|Un wey en un reel me dijo||https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
Billie Eilish|TV|Un wey en un reel me dijo||https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw
Men I Trust|Show Me How|Un wey en un reel me dijo||https://open.spotify.com/track/75IQVo8hqI1iwVZyvkN2VT
Men I Trust|Lauren|Un wey en un reel me dijo||https://open.spotify.com/track/62zFcDLa1CjCY9yp6VO4ga
Men I Trust|Seven|Un wey en un reel me dijo||https://open.spotify.com/track/5QvditjxADt1HMKPgaMjJm
Mitski|Nobody|Un wey en un reel me dijo||https://open.spotify.com/track/2P5yIMu2DNeMXTyOANKS6k
Mitski|First Love/Late Spring|Un wey en un reel me dijo||https://open.spotify.com/track/3sslYZcFKtUvIEWN9lADgr
Mitski|Love Me More|Un wey en un reel me dijo||https://open.spotify.com/track/4PUT0cH2iggaje5hTJZeGe
Bratty|Honey, No Estás|Un wey en un reel me dijo||https://open.spotify.com/track/4tiMBMyoWSRPmLHg16VpUs
Bratty|Quédate|Un wey en un reel me dijo||https://open.spotify.com/track/7tm1BebE71tHtJmbJKvvxq
Bratty|tarde|Un wey en un reel me dijo||https://open.spotify.com/track/2snboRLa5IkMkMAohyxEYN
Vanessa Zamora|Malas Amistades|Un wey en un reel me dijo||https://open.spotify.com/track/1fVVT89PhHDh9COdU5DB9B
Vanessa Zamora|Hbls Mucho|Un wey en un reel me dijo||https://open.spotify.com/track/5bR2TZ4Umy1W5ItjCT0GYf
Vanessa Zamora|Solegrande|Un wey en un reel me dijo||https://open.spotify.com/track/1ucbZ6xHcfJEpZXecucLfx
Chusi|Ni Una Sola Palabra (feat. IMA)|Un wey en un reel me dijo||https://open.spotify.com/track/4h9tHQkrlXA3N1wvpqDXmR
Diana Meril|Bby te necesito|Un wey en un reel me dijo||https://open.spotify.com/track/28mTC23nbAqdhdphOzCmIa
Diana Meril|Quimera|Un wey en un reel me dijo||https://open.spotify.com/track/3YGRQyZWnYpTUPOMCrRPwr
Ivana|Encima de mi|Un wey en un reel me dijo||https://open.spotify.com/track/0E5u4EcnDbx9OsygaR7lSJ
Ivana|Si Nos Volvemos A Encontrar|Un wey en un reel me dijo||https://open.spotify.com/track/1BEPwgt9j3KXEhKDGfNCfM
Ivana|Mocca|Un wey en un reel me dijo||https://open.spotify.com/track/3B3SncvTF7HG731m20DBeR
SALES|Renee|Un wey en un reel me dijo||https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk
SALES|Pope Is a Rockstar|Un wey en un reel me dijo||https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2
SALES|Big Sis|Un wey en un reel me dijo||https://open.spotify.com/track/0ARp9mXXpPflIwehy25kCa
RENEE|Nunca Tristes (Me Vale Madre)|Un wey en un reel me dijo||https://open.spotify.com/track/6VfjKPhMwcPJYTBgB3k7xo
La La Love You|Quiero Quedarme para Siempre|Un wey en un reel me dijo||https://open.spotify.com/track/78LESagKrWYm0P9E4cyRSj
Playa Limbo|Sin Plan B|Un wey en un reel me dijo||https://open.spotify.com/track/0l2UZXjizWAHzdI8w64RV0
Little Jesus|Fuera de Lugar|Un wey en un reel me dijo||https://open.spotify.com/track/2BWTYAiWbBGCJeKbQ6rpFA
Girl Ultra|DameLove (feat. Cuco)|Un wey en un reel me dijo||https://open.spotify.com/track/2ALEhWrcpAdOC7YYJBQIre
Girl Ultra|Punk|Un wey en un reel me dijo||https://open.spotify.com/track/4AHH9NSQXomtAgucYN9MSG
Paloma Morphy|(sola)|Un wey en un reel me dijo||https://open.spotify.com/track/3SdwgzRoY5ZnDt3tsiva5F
Paloma Morphy|lo que un día fue|Un wey en un reel me dijo||https://open.spotify.com/track/6VR9F92QImOnzX9gXQHlc1
Paloma Morphy|pijama.|Un wey en un reel me dijo||https://open.spotify.com/track/3oCKpnwoT4g9adu3O1yyZ3
The Marías|Basta Ya|Un wey en un reel me dijo||https://open.spotify.com/track/4CUTUsBGjHslu2Bd3AOXGg
The Marías|Little by Little|Un wey en un reel me dijo||https://open.spotify.com/track/3EzlgdxyFvjeAGzR5WxHB8
The Marías|Ay No Puedo|Un wey en un reel me dijo||https://open.spotify.com/track/3L0JDlycMhSA7R0M0OfNIY
The Marías|Ruthless|Un wey en un reel me dijo||https://open.spotify.com/track/1mbuSss0OVqfS00y7yCNCZ
The Marías|Only in My Dreams|Un wey en un reel me dijo||https://open.spotify.com/track/190IqlryWu91WBKeDgZqZz
The Marías|Déjate Llevar|Un wey en un reel me dijo||https://open.spotify.com/track/4eevohYu5jHXgnCitivUVT
The Marías|Lejos de Ti|Un wey en un reel me dijo||https://open.spotify.com/track/0phzfJn8NeT1LkbqfV2peI
The Marías|I Like It|Un wey en un reel me dijo||https://open.spotify.com/track/3Vm6yiTPfhFeUHD4gt42cZ
The Marías|Hold It Together|Un wey en un reel me dijo||https://open.spotify.com/track/6gJ2H930mAD1zRqmoFiE4W
The Marías|To Say Hello|Un wey en un reel me dijo||https://open.spotify.com/track/76vbQVnCEHe02OP4EWvApz
The Marías|Calling U Back|Un wey en un reel me dijo||https://open.spotify.com/track/5WVWQQpBJqljbZtxo19CxS
Men I Trust|I Hope to Be Around|Un wey en un reel me dijo||https://open.spotify.com/track/3xnM0WCRJKk4Iz49rkG5OC
The Marías|Love You Anyway|Un wey en un reel me dijo||https://open.spotify.com/track/3vxvz0JoRDvnx2jG9oPljA
The Marías|Superclean|Un wey en un reel me dijo||https://open.spotify.com/track/0hxl37ZV9GgcY1Pn8UiPWK
Clairo|4EVER|Un wey en un reel me dijo||https://open.spotify.com/track/6Kzul7v3QxHGwV2AjLNp3X
The Marías|Fog as a Bullet|Un wey en un reel me dijo||https://open.spotify.com/track/4raL05JS5aNmXwClc2ATA8
Crumb|Ghostride|Un wey en un reel me dijo||https://open.spotify.com/track/0R3TWpoxAhT3HDXM7tpRzS
Men I Trust|Numb|Un wey en un reel me dijo||https://open.spotify.com/track/6Ijmj8Z0L31hCp5pLZnT5U
Triathalon|Drip|Un wey en un reel me dijo||https://open.spotify.com/track/5H8BPBnmDDeocTGbwCmYWm
Kali Uchis|quiero sentirme bien|Un wey en un reel me dijo||https://open.spotify.com/track/1xP2jdihnPfoqPNVHHhKnm
Men I Trust|Tree Among Shrubs|Un wey en un reel me dijo||https://open.spotify.com/track/2JKtCvtxP47fOMYi0BjMoY
The Marías|Hush|Un wey en un reel me dijo||https://open.spotify.com/track/4zXZ5Mq2L6jnsOsTssgRh8
Clairo|Amoeba|Un wey en un reel me dijo||https://open.spotify.com/track/0HAqq2GcQKyi3s87GuN7jU
The Marías|Sienna|Un wey en un reel me dijo||https://open.spotify.com/track/0InIeZW4P6VO7dUGRM4AKH
Clairo|Pretty Girl|Un wey en un reel me dijo||https://open.spotify.com/track/27g0ztD0kKcDJRrIFDl8q8
Men I Trust|Sugar|Un wey en un reel me dijo||https://open.spotify.com/track/6ZdAsADC9LIICvsVRuGWbZ
The Marías|ABQ|Un wey en un reel me dijo||https://open.spotify.com/track/5P9PQR7CM5YPEU2I3EypWM
The Marías|Run Your Mouth|Un wey en un reel me dijo||https://open.spotify.com/track/19fKJrO9XdOf6Xla2QHecO
The Marías|Vicious Sensitive Robot|Un wey en un reel me dijo||https://open.spotify.com/track/1N2NENvgrnemh4AuV2hawv
Clairo|Softly|Un wey en un reel me dijo||https://open.spotify.com/track/3r8b29rWOWwvxVyq3bSr1I
Men I Trust|You Deserve This|Un wey en un reel me dijo||https://open.spotify.com/track/294NusLyTV6cRxJVjCqxML
The Marías|All I Really Want Is You|Un wey en un reel me dijo||https://open.spotify.com/track/410rGaFDJPwjsr9m9RPCkz
The Marías|Real Life|Un wey en un reel me dijo||https://open.spotify.com/track/3HVRZxCp3BWYuYe8L8BMNH
The Marías|Care For You|Un wey en un reel me dijo||https://open.spotify.com/track/2CBtdZVcpSwaxOcLUi1AGo
The Marías|Spin Me Around|Un wey en un reel me dijo||https://open.spotify.com/track/3WOZcIibmurJult4Z7Wfce
The Marías|Loverboy|Un wey en un reel me dijo||https://open.spotify.com/track/3XCpEFU4uXsBq5WmVQQKC9
The Marías|Hamptons|Un wey en un reel me dijo||https://open.spotify.com/track/1jlBePA3tcycCoANSSZbgj
Clairo|2 Hold U|Un wey en un reel me dijo||https://open.spotify.com/track/0dcsuO7AQ06VS9uWfA6m1C
Men I Trust|All Night|Un wey en un reel me dijo||https://open.spotify.com/track/0XvoMOI25j4wODyk8nuANS
Kali Uchis|I Wish you Roses|Un wey en un reel me dijo||https://open.spotify.com/track/35SbrfbaSpGUBX7e5BPega
Clairo|Juna|Un wey en un reel me dijo||https://open.spotify.com/track/2mWfVxEo4xZYDaz0v7hYrN
Crumb|Ice Melt|Un wey en un reel me dijo||https://open.spotify.com/track/1OPkXWnIK8RYyWTp3NWvM9
The Marías|Just a Feeling|Un wey en un reel me dijo||https://open.spotify.com/track/0ZjTXCk5QKDR0wGGPgqSS3
The Marías|Heavy|Un wey en un reel me dijo||https://open.spotify.com/track/1ShRHPAiiIrh0arZbSFmx1
Clairo|Heaven|Un wey en un reel me dijo||https://open.spotify.com/track/4XYo3W8U6IY42EbB01rnR4
Shelly|Natural|Un wey en un reel me dijo||https://open.spotify.com/track/6VLjdregMReJhKp2r32IWo
Clairo|Slow Dance|Un wey en un reel me dijo||https://open.spotify.com/track/2qmmnbJ9JR3f7vofbyje5r
The Marías|Back To Me|Un wey en un reel me dijo||https://open.spotify.com/track/4E0P1xs3JNmsNr5c5nFTZJ
Clairo|Sexy to Someone|Un wey en un reel me dijo||https://open.spotify.com/track/3awweDjWIuXNMogMClJnvE
Clairo|Terrapin|Un wey en un reel me dijo||https://open.spotify.com/track/32fwe7MW5koort1Ua3YFx6
Clairo|Second Nature|Un wey en un reel me dijo||https://open.spotify.com/track/7cFwopK7QTOgaEwF9JgipA
The Marías|Ride|Un wey en un reel me dijo||https://open.spotify.com/track/3zJakbnIw0ufiVnIFkLfA1
The Marías|Clueless|Un wey en un reel me dijo||https://open.spotify.com/track/4pnXcQSeFwrr3GPHEmeS7m
The Marías|Nobody New|Un wey en un reel me dijo||https://open.spotify.com/track/3BUc2A0MJ53FHwiy3eohBt
Clairo|Echo|Un wey en un reel me dijo||https://open.spotify.com/track/6QlSPjiXHc1XwGKeEls6Gh
Kali Uchis|Never Be Yours|Un wey en un reel me dijo||https://open.spotify.com/track/3cKnHNL40tqnmjXiv4FOlk
The Marías|Paranoia|Un wey en un reel me dijo||https://open.spotify.com/track/4gtIYSYu8u2ItBqrhCaChL
The Marías|No One Noticed (Extended Spanish)|Un wey en un reel me dijo||https://open.spotify.com/track/2kn0fLwt9QRorHuGdmk6ze
Tyler|St. Chroma (feat. Daniel Caesar)|W||https://open.spotify.com/track/1QoyuMHNBe7lg3YW4Qtll4
Travis Scott|FE!N (feat. Playboi Carti)|W||https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA
Doechii|Persuasive (with SZA)|W||https://open.spotify.com/track/67v2UHujFruxWrDmjPYxD6
Doechii|NISSAN ALTIMA|W||https://open.spotify.com/track/2dKkVF2m160z0RNDN2dddc
Doechii|WAIT|W||https://open.spotify.com/track/3bnEbEdttscDToE3I8yOZD
Peso Pluma|ICE|W||https://open.spotify.com/track/5c9vvmRxose2Qk8JOxpxrE
Peso Pluma|PUT EM IN THE FRIDGE|W||https://open.spotify.com/track/2BACqEbfDpPMOO7xhSOz2B
Kendrick Lamar|untitled 08 | 09.06.2014.|W||https://open.spotify.com/track/5bBUDJUfGcG7eFy3Bf4fXv
Kendrick Lamar|peekaboo (feat. azchike)|W||https://open.spotify.com/track/2Uts1QFB4u2YNIMiqcb4de
Kendrick Lamar|tv off (feat. lefty gunplay)|W||https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG
Kendrick Lamar|luther (with sza)|W||https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ
Kendrick Lamar|squabble up|W||https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb
Tyler|Balloon (feat. Doechii)|W||https://open.spotify.com/track/35D1RA5uVFVhMc1qX80TaQ
Tyler|See You Again (feat. Kali Uchis)|W||https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
MF DOOM|One Beer|W||https://open.spotify.com/track/4BnrGx9tWNF8aiXl1UhDBa
Kendrick Lamar|Count Me Out|W||https://open.spotify.com/track/6BU1RZexmvJcBjgagVVt3M
Kendrick Lamar|A.D.H.D|W||https://open.spotify.com/track/2Fw5S2gaOSZzdN5dFoC2dj
Kendrick Lamar|HiiiPower|W||https://open.spotify.com/track/4WEuEfFiczWxblHyuucSBL
Kendrick Lamar|Money Trees|W||https://open.spotify.com/track/74tLlkN3rgVzRqQJgPfink
Kendrick Lamar|Bitch, Don’t Kill My Vibe|W||https://open.spotify.com/track/0yhMmqax6HRAZxI7udEask
Doechii|DENIAL IS A RIVER|W||https://open.spotify.com/track/1eTaznNW4Xxtx9za2SMTXB
Mac Miller|5 Dollar Pony Rides|W||https://open.spotify.com/track/1xKGnsdKOh8jx8pzSZAgXE
jev.|where's the confetti?|W||https://open.spotify.com/track/3VL3aSOA8O3b5iOVBkD9iD
Doechii|Nosebleeds|W||https://open.spotify.com/track/3QfxeNMKiOMFxHVLlR1L1c
Joey Valence & Brae|OK|W||https://open.spotify.com/track/442lxJfyUbsOWAYFBxNDdL
Charles Ans|Ariande / “14 Besos”|W||https://open.spotify.com/track/3S6VyqU2RJJHipTDlN9Hz7
IDK|CLOVER|W||https://open.spotify.com/track/0ceAnr7yV1CO6Hseca0vrB
Doechii|CATFISH|W||https://open.spotify.com/track/3QQvSQKV8YmQxGolwwWe59
Kanye West|Father Stretch My Hands Pt. 1|W||https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8
Vetusta Morla|Puentes|Deséame Suerte||https://open.spotify.com/track/3UEKxKRPkUzOGVTYlDf15a
Vetusta Morla|¡Ay, Madrid!|Deséame Suerte||https://open.spotify.com/track/0KCZWpCxzfTS0WxCpm5n8t
Vetusta Morla|La Sábana de mis Fantasmas|Deséame Suerte||https://open.spotify.com/track/7LnKyhaEvarRIob13OBTFt
Vetusta Morla|Figurantes|Deséame Suerte||https://open.spotify.com/track/0uwUDLoosqJ7KRem4qRPxv
Vetusta Morla|Catedrales|Deséame Suerte||https://open.spotify.com/track/0jEv5wC52rZxFiEuBJBk3p
Vetusta Morla|Parece Mentira|Deséame Suerte||https://open.spotify.com/track/5n9TdgPEINHuJKoT5RSAZA
Vetusta Morla|1, 2, 3, Big Bang|Deséame Suerte||https://open.spotify.com/track/3Tn3ZpVl91kgpN1LaOAM3v
Vetusta Morla|Cosas que Hacer un Domingo por la Tarde|Deséame Suerte||https://open.spotify.com/track/5MIp6wcdkcfUrlEPNMQaO4
Vetusta Morla|La Derrota|Deséame Suerte||https://open.spotify.com/track/6ERvzvNhOAWZffyBROuvqN
Vetusta Morla|Nadadoras|Deséame Suerte||https://open.spotify.com/track/251CRflRNa2DfnWQHkV253
Vetusta Morla|Drones|Deséame Suerte||https://open.spotify.com/track/2aJ1gmrrKbWiaiDptaar3V
Vetusta Morla|Puñalada Trapera|Deséame Suerte||https://open.spotify.com/track/2DwTME1HMySsnglHE1T0zZ
Vetusta Morla|La Virgen de La Humanidad|Deséame Suerte||https://open.spotify.com/track/1EJfdvLYKAsbX9XslyENMH
Vetusta Morla|No Seré Yo|Deséame Suerte||https://open.spotify.com/track/2gJsNulUxAafujhKtE8C47
Vetusta Morla|El Imperio del Sol|Deséame Suerte||https://open.spotify.com/track/7d3n7tvtt4Mx3XTqVje0OA
Vetusta Morla|Corazón de Lava|Deséame Suerte||https://open.spotify.com/track/6UowyibhCgLMU42K6DOEIM
Vetusta Morla|La Diana|Deséame Suerte||https://open.spotify.com/track/5yl9RdqMPZYEttv9l9BJ1v
Vetusta Morla|Palabra Es lo Único que Tengo|Deséame Suerte||https://open.spotify.com/track/6gnJhKs6hDBPF7G5K2KxJi
Vetusta Morla|Si Te Quiebras|Deséame Suerte||https://open.spotify.com/track/2XWeso9mJ9aqH6OVddJ3qO
Vetusta Morla|Finisterre|Deséame Suerte||https://open.spotify.com/track/5FhTo7yj2umChnDdqch8oG
Vetusta Morla|Al Final de la Escapada|Deséame Suerte||https://open.spotify.com/track/5OJ8Ao3PQCMHOcLnt3DbOb
Vetusta Morla|Deséame Suerte|Deséame Suerte||https://open.spotify.com/track/6r6RKNFH4Z6qwE5wcR0ThO
Vetusta Morla|El Discurso del Rey|Deséame Suerte||https://open.spotify.com/track/5c9vzNTSsOVtqNdoLxnThW
Vetusta Morla|Palmeras en La Mancha|Deséame Suerte||https://open.spotify.com/track/5YZMJ4EP6dQ09exI0qkN1h
Vetusta Morla|Consejo de Sabios|Deséame Suerte||https://open.spotify.com/track/7C5pur4EKhyZxUaUa9qxjQ
Vetusta Morla|Guerra Civil|Deséame Suerte||https://open.spotify.com/track/2xGWmq36THIoLaMXm5SVAw
Vetusta Morla|Te lo Digo a Ti|Deséame Suerte||https://open.spotify.com/track/55ZjGMNSwRti3ZaIiI0OiN
Vetusta Morla|Punto Sin Retorno|Deséame Suerte||https://open.spotify.com/track/1Iovb0I9Jk81npSal4d7g9
Vetusta Morla|La Vieja Escuela|Deséame Suerte||https://open.spotify.com/track/1NfW15QeAYNu6uJcLzcffu
Vetusta Morla|Mismo Sitio, Distinto Lugar|Deséame Suerte||https://open.spotify.com/track/1Z0p8lse8FkvVpQvCtI7fY
Vetusta Morla|La Deriva|Deséame Suerte||https://open.spotify.com/track/3yAVc9zsc742nCxO8mDB8T
Vetusta Morla|Golpe Maestro|Deséame Suerte||https://open.spotify.com/track/2adhtQyoXfZiJdaaK5Z52Z
Vetusta Morla|La Mosca en Tu Pared|Deséame Suerte||https://open.spotify.com/track/2GFwizKmCoyTNa8lj6IkRx
Vetusta Morla|Fuego|Deséame Suerte||https://open.spotify.com/track/3vg71FeXUDcUL3k1qZeGZz
Vetusta Morla|Fiesta Mayor|Deséame Suerte||https://open.spotify.com/track/2JUPDC22B0ypyQH8K2JyPv
Vetusta Morla|¡Alto!|Deséame Suerte||https://open.spotify.com/track/5Y0b2WxbaL9LOBm6DiIAlq
Vetusta Morla|La Grieta|Deséame Suerte||https://open.spotify.com/track/7yMhGgFhx0mZ0Yw7f3CvKH
Vetusta Morla|Pirómanos|Deséame Suerte||https://open.spotify.com/track/0KlU1jndbVLbmZJm513UTO
Vetusta Morla|Las Salas de Espera|Deséame Suerte||https://open.spotify.com/track/50WapuvM4eg91hwV4J2Ums
Vetusta Morla|Cuarteles de Invierno|Deséame Suerte||https://open.spotify.com/track/7hlR10JKqZ1BKm8PliNTak
Vetusta Morla|Tour de Francia|Deséame Suerte||https://open.spotify.com/track/3b5yGTpipwOCD36jvxUc3M
Vetusta Morla|Una Sonata Fantasma|Deséame Suerte||https://open.spotify.com/track/5wJTFtKIwrjxSU65tstB94
Vetusta Morla|Los Buenos|Deséame Suerte||https://open.spotify.com/track/3FzuQ398ughVa456X6PCV6
Vetusta Morla|Los Días Raros|Deséame Suerte||https://open.spotify.com/track/0eVB5kmXBHSKgTYxgI77kq
Vetusta Morla|Lo Que Te Hace Grande|Deséame Suerte||https://open.spotify.com/track/1OYhYHLLXPWvUjGvSJnxMw
Vetusta Morla|En el Río|Deséame Suerte||https://open.spotify.com/track/6RBkJfOoKhGTMyUP6YXcjS
Vetusta Morla|Baldosas Amarillas|Deséame Suerte||https://open.spotify.com/track/2BHoRzT1CAbvDBoa3oXcjv
Vetusta Morla|Boca en la Tierra|Deséame Suerte||https://open.spotify.com/track/6Da8w1k1IRMSYiGJsug70i
Vetusta Morla|El Hombre del Saco|Deséame Suerte||https://open.spotify.com/track/2I2SSlcGB8Md9cnmPSe3cl
Vetusta Morla|Maldita Dulzura|Deséame Suerte||https://open.spotify.com/track/1RnDdNwGdqTMSTiZmSLYdU
Vetusta Morla|Cenas Ajenas|Deséame Suerte||https://open.spotify.com/track/6HhH7t3t43fb5L0OMH2Oz4
Vetusta Morla|Mapas|Deséame Suerte||https://open.spotify.com/track/5YqdZam9Ad85HrtrhzpCSk
Vetusta Morla|Canción de Vuelta|Deséame Suerte||https://open.spotify.com/track/347xGYry34MgnQKTjKg4J3
Vetusta Morla|Escudo Humano|Deséame Suerte||https://open.spotify.com/track/1ZaQfoHeFmItKM2ZF4MERf
Vetusta Morla|Mi Suerte|Deséame Suerte||https://open.spotify.com/track/6JS7TtyEuYYAqieHISx69E
Vetusta Morla|Autocrítica|Deséame Suerte||https://open.spotify.com/track/73P7m3XZ4ha7qFOBpuIozd
Vetusta Morla|Sálvese Quien Pueda|Deséame Suerte||https://open.spotify.com/track/5VQarczMNfW5OyLGuZhA6H
Vetusta Morla|Un Día en el Mundo|Deséame Suerte||https://open.spotify.com/track/5RASH1Os22jKnrGFLu5JTO
Vetusta Morla|Copenhague|Deséame Suerte||https://open.spotify.com/track/4bZEZhCq2kqUxnMacXVl5x
Vetusta Morla|Valiente|Deséame Suerte||https://open.spotify.com/track/0pyT9W877RcYtVdl1ZmlvQ
